"","v001","interview_month","dhs_year","edu_a","floor_type","household_size","housing_q","mean_age","median_age","net_use","region","roof_type","shstate","U5_pop","wall_type","wealth","fever","preg_women","all_female_sex","female_child_sex","net_use_child","p_test","med_treat_fever","ACT_use_U5","minutes_to_city_2000m","building_density_2000m","dominant_vector_2000m","elev_2000m","minutes_travel_metre_2015_2000m","housing_2000_2000m","housing_2015_2000m","minutes_travel_metre_2019_2000m","motorized_travel_healthcare_2019_2000m","pop_den_U5_FB_2000m","pop_density_2000m","secondary_vector_2000m","temp_all_yrs_2000m","minutes_walking_metre_2000m","minutes_walking_healthcare_2000m"
"1",8,10,"2010",22.3404255319149,98.9361702127659,6,78.7234042553192,24.2127659574468,24,5.31914893617021,"north central",86.1702127659574,"benue",12.7659574468085,78.7234042553192,100,23.0769230769231,11.5384615384615,41.6666666666667,41.6666666666667,16.6666666666667,25,66.6666666666667,0,0.333333333333333,2160.75795411458,30,110,0.00172666669435178,0.415171682834625,0.755524218082428,0.000991428608540446,0.710456637541453,1.39099752033661,419.957259114583,3,300.116546630859,0.0120000001043081,9.46666666666667
"2",10,12,"2010",16.304347826087,81.9148936170213,5,62.7659574468085,20.0531914893617,20,0,"north central",100,"fct-abuja",18.0851063829787,69.1489361702128,100,43.75,16,76.4705882352941,76.4705882352941,0,11.7647058823529,28.5714285714286,14.2857142857143,6.0625,2867.14106994629,30,389,0.00802346784621477,0.281668245792389,0.53131890296936,0.00294292594480794,2.15027776733041,2.3994496052506,700.021106719971,7,301.025360107422,0.0188304258044809,17.25
"3",11,11,"2010",39.6551724137931,100,3,100,25.9310344827586,25,1.72413793103448,"north central",81.0344827586207,"fct-abuja",12.0689655172414,100,100,50,5.26315789473684,57.1428571428572,60,0,0,50,0,0.866666666666667,959.766467751397,30,504,0.0043361647054553,0.387911587953568,0.623676180839539,0.00275711709012588,2.50720484654109,2.22961813988343,573.082491048177,7,300.441802978516,0.0257628310471773,30.3333333333333
"4",11,12,"2010",39.6551724137931,100,3,100,25.9310344827586,25,1.72413793103448,"north central",81.0344827586207,"fct-abuja",12.0689655172414,100,100,50,5.26315789473684,57.1428571428572,60,0,0,50,0,0.866666666666667,959.766467751397,30,504,0.0043361647054553,0.387911587953568,0.623676180839539,0.00275711709012588,2.50720484654109,2.22961813988343,573.082491048177,7,300.441802978516,0.0257628310471773,30.3333333333333
"5",15,11,"2010",7.59493670886076,88.6075949367089,4,83.5443037974684,26.9113924050633,24.5,13.9240506329114,"north central",98.7341772151899,"kogi",18.9873417721519,94.9367088607595,84.8101265822785,0,15.7894736842105,53.3333333333333,57.1428571428572,14.2857142857143,50,NA,NA,0,1619.83068004995,30,336.928571428571,0.0022571428770399,NA,NA,0.000907142900229831,0.216958541955267,3.28135970826618,342.94711957659,7,299.355834960938,0.0222857140802911,4.71428571428571
"6",15,10,"2010",7.59493670886076,88.6075949367089,4,83.5443037974684,26.9113924050633,24.5,13.9240506329114,"north central",98.7341772151899,"kogi",18.9873417721519,94.9367088607595,84.8101265822785,0,15.7894736842105,53.3333333333333,57.1428571428572,14.2857142857143,50,NA,NA,0,1619.83068004995,30,336.928571428571,0.0022571428770399,NA,NA,0.000907142900229831,0.216958541955267,3.28135970826618,342.94711957659,7,299.355834960938,0.0222857140802911,4.71428571428571
"7",16,11,"2010",19.2771084337349,90.3614457831325,4,90.3614457831325,20.9036144578313,22,3.6144578313253,"north central",97.5903614457831,"kogi",19.2771084337349,100,100,6.25,9.52380952380953,37.5,35.7142857142857,14.2857142857143,0,0,0,0.533333333333333,1761.71655470933,30,160.866666666667,0.00210000002989545,0.327398717403412,0.628421723842621,0.00112666672018046,0.83567014336586,1.727663,65.394325764974,7,301.532104492188,0.0120000001043081,8.6
"8",17,11,"2010",3.73831775700935,85.981308411215,6,85.981308411215,16.7570093457944,11,3.73831775700935,"north central",98.1308411214953,"kogi",24.2990654205607,89.7196261682243,88.785046728972,3.84615384615385,20.8333333333333,50,52,0,20,0,0,1.35714285714286,1902.63928060561,30,364.714285714286,0.00431515912974386,NA,NA,0.00241780574599813,0.895005998866899,3.407737,340.395010811942,7,299.355834960938,0.0195749484534775,2.64285714285714
"9",22,10,"2010",13.0434782608696,90.5172413793103,7,38.7931034482759,26.9224137931034,23,1.72413793103448,"north central",96.551724137931,"kwara",11.2068965517241,38.7931034482759,97.4137931034483,23.0769230769231,6.45161290322581,61.5384615384615,66.6666666666667,0,0,66.6666666666667,0,0,2605.53560893479,30,299.785714285714,0.000892857168634821,0.432008117437363,0.636106371879578,0.000727551037146311,0.124141007661819,1.84169457446515,3769.19286237444,7,298.957000732422,0.0120000001043081,1.57142857142857
"10",23,10,"2010",12.037037037037,100,5,92.5925925925926,21.2037037037037,17,2.77777777777778,"north central",100,"kwara",12.962962962963,92.5925925925926,97.2222222222222,21.4285714285714,12.5,35.7142857142857,36.3636363636364,9.09090909090909,27.2727272727273,0,0,11,1281.04111307628,30,542.5,0.00367844862713745,0.30277693271637,0.587649583816528,0.000877551044270928,0.398839418377195,2.54213575850746,181.175537654332,3,298.19873046875,0.0257142854056188,11
