"","positives","child_6_59_tested_malaria","edu_a","wealth","pop_density_0m","median_age","med_treat_fever","precipitation_monthly_0m","EVI_0m","lat","lon","first_interview_month","dhs_year","pos","ID","month_year","ID2"
"1",0,4,25,94.7916666666667,533.618713378906,27,100,230.954238891602,0.278774917125702,8.506936,7.720049,9,2018,"(0.657540541207696,-0.156554747688485)","1","9 _ 2018","1"
"4",0,4,25.8064516129032,85.4838709677419,284.633148193359,16,100,0.453367620706558,0.194430008530617,8.14976,7.210132,12,2018,"(0.504999126220261,-0.371087986577388)","1","12 _ 2018","1"
"5",1,11,9.45945945945946,47.972972972973,219.023620605469,18,100,21.4545269012451,0.399191677570343,8.408131,6.880904,11,2018,"(0.615343264493041,-0.509601409689219)","1","11 _ 2018","1"
"6",0,7,9.72222222222222,68.0555555555555,932.373229980469,16,100,5.6159086227417,0.226437523961067,7.368583,9.271858,11,2018,"(0.171376920541156,0.496325252207477)","1","11 _ 2018","1"
"7",3,10,8.24175824175824,70.8791208791209,932.373229980469,16,71.4285714285714,5.6159086227417,0.346069276332855,7.365453,9.284394,11,2018,"(0.170040171630505,0.501599421695279)","1","11 _ 2018","1"
"8",1,7,12.3711340206186,90.7216494845361,932.373229980469,22,85.7142857142857,165.161819458008,0.324731200933456,7.340065,9.172708,10,2018,"(0.159197557782707,0.454610677804516)","1","10 _ 2018","1"
"9",0,4,25.5813953488372,91.8604651162791,976.843994140625,25,100,5.6159086227417,0.176459446549416,7.380255,9.133583,11,2018,"(0.176361755456529,0.438149934249137)","1","11 _ 2018","1"
"10",0,7,27.5862068965517,98.6206896551724,1615.99584960938,18.5,50,165.161819458008,0.187524110078812,7.316459,9.145108,10,2018,"(0.149115993953689,0.442998753916249)","1","10 _ 2018","1"
"12",0,5,17.9245283018868,94.3396226415094,1082.71350097656,23,66.6666666666667,165.161819458008,0.199713334441185,7.348596,9.149126,10,2018,"(0.162840945947807,0.444689214430128)","1","10 _ 2018","1"
"14",0,2,22.1052631578947,91.5789473684211,1615.99597167969,24.5,80,165.161819458008,0.124693423509598,7.324846,9.148613,10,2018,"(0.152697883127373,0.444473384105682)","1","10 _ 2018","1"
"15",0,3,3.40909090909091,96.5909090909091,932.373168945312,22,75,258.328887939453,0.299901127815247,7.497145,9.146652,8,2018,"(0.226282707586239,0.443648348498984)","1","8 _ 2018","1"
"16",0,5,13.28125,98.4375,932.373229980469,13,100,258.328887939453,0.382577538490295,7.477958,9.13586,8,2018,"(0.218088394056316,0.439107917969919)","1","8 _ 2018","1"
"18",0,6,15.1785714285714,93.75,955.748840332031,20,100,227.356552124023,0.329294383525848,7.091405,8.946523,9,2018,"(0.0530007577435789,0.359449699374523)","1","9 _ 2018","1"
"20",0,1,44.7368421052632,100,540.470336914062,25,100,227.356552124023,0.310735821723938,7.072193,8.955949,9,2018,"(0.0447957673054236,0.363415423815495)","1","9 _ 2018","1"
"21",1,5,5.40540540540541,53.3783783783784,1615.99597167969,22,80,227.356552124023,0.241528958082199,7.083928,8.933183,9,2018,"(0.0498075080295415,0.353837269495194)","1","9 _ 2018","1"
"22",1,7,17.5757575757576,100,1002.99749755859,18.5,100,227.356552124023,0.16915425658226,7.080057,8.938501,9,2018,"(0.0481542955588929,0.356074668453086)","1","9 _ 2018","1"
"23",1,10,20.8333333333333,100,1615.99597167969,15,100,108.490875244141,0.25754302740097,7.218724,9.09662,10,2018,"(0.107375688911365,0.422598791398339)","1","10 _ 2018","1"
"24",1,4,9.58904109589041,69.8630136986301,1263.8427734375,22.5,100,108.490875244141,0.278236478567123,7.222119,9.102789,10,2018,"(0.108825613049276,0.425194224676118)","1","10 _ 2018","1"
"25",4,12,9.62962962962963,65.9259259259259,192.900695800781,10.5,77.7777777777778,176.769500732422,0.312097430229187,6.947977,8.469179,9,2018,"(-0.00825394601260271,0.158620634283177)","1","9 _ 2018","1"
"26",5,10,0,0,218.735229492188,12.5,87.5,215.598251342773,0.40791991353035,7.040249,8.809633,9,2018,"(0.0311532410428565,0.301857081219997)","1","9 _ 2018","1"
"27",2,6,10,20,139.093063354492,21,33.3333333333333,188.440063476562,0.494182050228119,5.704419,8.265911,9,2018,"(-0.539348131901199,0.0731013391773659)","1","9 _ 2018","1"
"28",0,5,17.2727272727273,93.6363636363636,76.4086074829102,22,100,297.726531982422,0.466765105724335,6.092684,7.80854,8,2018,"(-0.373529340912732,-0.119324647804547)","1","8 _ 2018","1"
"29",1,2,8.10810810810811,67.5675675675676,439.466644287109,21,50,209.148727416992,0.456136107444763,6.203646,7.603829,9,2018,"(-0.326140097263003,-0.205451044583212)","1","9 _ 2018","1"
"31",1,3,5.49450549450549,76.9230769230769,432.145355224609,15,66.6666666666667,125.718841552734,0.274852097034454,6.225019,7.545942,10,2018,"(-0.31701219487727,-0.229805372051333)","1","10 _ 2018","1"
"32",1,5,8.69565217391304,76.0869565217391,432.145446777344,23,33.3333333333333,125.718841552734,0.406263709068298,6.226769,7.541176,10,2018,"(-0.316264811301027,-0.231810532531459)","1","10 _ 2018","1"
"34",0,3,11.9047619047619,64.2857142857143,432.145355224609,20,100,125.718841552734,0.33573442697525,6.212734,7.544068,10,2018,"(-0.322258827582493,-0.230593804854471)","1","10 _ 2018","1"
"36",1,7,6.2992125984252,49.6062992125984,149.314804077148,15.5,62.5,195.764144897461,0.511984765529633,7.260513,7.453183,10,2018,"(0.125222781635709,-0.268831112919152)","1","10 _ 2018","1"
"38",0,2,18.0722891566265,65.0602409638554,105.90340423584,18,0,3.35492038726807,0.230444565415382,6.747611,7.09668,12,2018,"(-0.0938255218054121,-0.418819725308248)","1","12 _ 2018","1"
"39",1,6,0,0,28.2226219177246,20.5,100,0,0.236112147569656,3.710396,9.332164,12,2018,"(-1.39094815524401,0.521697305903342)","1","12 _ 2018","1"
"40",0,3,0,0,28.2226238250732,12.5,0,0,0.263743758201599,3.295692,8.945371,12,2018,"(-1.56805841730235,0.358965027768752)","1","12 _ 2018","1"
"41",0,5,0.555555555555556,0,28.2226219177246,10,25,0.04533676430583,0.295007616281509,2.988734,8.833585,12,2018,"(-1.69915291318593,0.311934211689989)","1","12 _ 2018","1"
"42",0,4,5.45454545454546,20.9090909090909,113.431282043457,14,100,0.526491463184357,0.350634723901749,5.423537,8.866395,11,2018,"(-0.659306185422435,0.325738096573107)","1","11 _ 2018","1"
"43",0,7,0.961538461538462,7.69230769230769,83.4112548828125,20,25,214.062637329102,0.533906936645508,5.025965,8.611656,9,2018,"(-0.829099775807524,0.218563825581318)","1","9 _ 2018","1"
"44",3,8,1.5625,4.6875,153.832855224609,17,66.6666666666667,189.624664306641,0.516291320323944,4.702849,8.304263,9,2018,"(-0.967094971019634,0.0892368647194983)","1","9 _ 2018","1"
"45",4,7,0,0,83.411247253418,12,0,195.459945678711,0.461703211069107,5.284705,8.405182,9,2018,"(-0.718598046369239,0.131695696128196)","1","9 _ 2018","1"
"46",1,7,2.87769784172662,9.35251798561151,83.4112548828125,16.5,40,177.778610229492,0.485628694295883,4.886129,9.03899,9,2018,"(-0.888820421388927,0.39835258945338)","1","9 _ 2018","1"
"47",0,3,39.7058823529412,94.1176470588235,675.59033203125,21,0,160.272766113281,0.324307501316071,4.593865,8.509142,9,2018,"(-1.01363945769004,0.175433942774004)","1","9 _ 2018","1"
"49",0,4,8.88888888888889,56.6666666666667,5414.0078125,16,50,160.272766113281,0.132655322551727,4.555154,8.50099,9,2018,"(-1.03017200947286,0.172004218008165)","1","9 _ 2018","1"
"51",3,8,8.33333333333333,69.1666666666667,112.505241394043,14,75,225.867752075195,0.240608066320419,4.521756,8.49942,8,2018,"(-1.0444355047182,0.17134368465655)","1","8 _ 2018","1"
"52",0,6,18.8811188811189,94.4055944055944,112.505249023438,20.5,100,225.867752075195,0.373073697090149,4.520125,8.481314,8,2018,"(-1.04513206621126,0.163726094297094)","1","8 _ 2018","1"
"53",3,9,3.44827586206897,25.5172413793103,112.505233764648,13.5,33.3333333333333,0.18134705722332,0.267340421676636,4.466461,8.551048,12,2018,"(-1.06805069034582,0.19306471387769)","1","12 _ 2018","1"
"54",0,3,13.9784946236559,68.8172043010753,889.031860351562,18,100,43.8304138183594,0.472241073846817,4.699412,8.09724,11,2018,"(-0.968562832363374,0.00213775895425099)","1","11 _ 2018","1"
"55",3,6,6.76691729323308,15.0375939849624,1261.70727539062,19.5,100,103.549163818359,0.502940654754639,4.687353,8.176691,10,2018,"(-0.973712945818179,0.0355645330429014)","1","10 _ 2018","1"
"56",1,3,5.38461538461539,78.4615384615385,1292.59057617188,18,100,103.549163818359,0.392976492643356,4.715412,8.169858,10,2018,"(-0.961729611094871,0.032689740436795)","1","10 _ 2018","1"
"57",0,6,6.55737704918033,80.327868852459,1292.59057617188,20,0,103.549163818359,0.293643295764923,4.718317,8.13574,10,2018,"(-0.960488954358308,0.0183355513346246)","1","10 _ 2018","1"
"58",2,9,20,91.5384615384615,1292.5908203125,18,100,103.549163818359,0.33001846075058,4.70336,8.142097,10,2018,"(-0.966876735015371,0.021010080325846)","1","10 _ 2018","1"
"60",0,4,15.9574468085106,86.1702127659574,276.083679199219,19,60,191.72917175293,0.508056163787842,5.147942,8.105735,10,2018,"(-0.77700628639076,0.0057117913249333)","1","10 _ 2018","1"
"61",1,5,11.6504854368932,81.5533980582524,140.649597167969,24,100,191.72917175293,0.447378426790237,5.229009,8.08012,10,2018,"(-0.742384489604899,-0.00506499963151432)","1","10 _ 2018","1"
"62",0,3,11.9047619047619,92.8571428571429,115.23885345459,22,100,268.030944824219,0.32241490483284,7.661177,9.004072,8,2018,"(0.296336892030936,0.383661822847202)","1","8 _ 2018","1"
"63",3,6,2.82485875706215,74.0112994350282,828.502075195312,15.5,100,205.945907592773,0.163234606385231,7.883199,8.847763,9,2018,"(0.391157232810665,0.317899206504767)","1","9 _ 2018","1"
"65",0,2,34.3434343434343,76.7676767676768,186.864151000977,20,0,106.632064819336,0.446935325860977,8.399236,8.931034,10,2018,"(0.611544420544083,0.352933138175054)","1","10 _ 2018","1"
"66",0,6,13.1736526946108,73.6526946107784,168.036987304688,18,0,2.93957710266113,0.128051072359085,8.51706,8.493242,11,2018,"(0.661864261965342,0.16874446488185)","1","11 _ 2018","1"
"67",0,10,3.20855614973262,75.4010695187166,168.036987304688,15,50,2.93957710266113,0.128051072359085,8.521593,8.497829,11,2018,"(0.663800198965975,0.170674316145454)","1","11 _ 2018","1"
"68",1,11,1.71428571428571,64.5714285714286,168.036987304688,13,0,2.93957710266113,0.147491812705994,8.520061,8.48664,11,2018,"(0.663145918029516,0.165966859030026)","1","11 _ 2018","1"
"69",0,5,11.8055555555556,65.2777777777778,77.3402633666992,16,0,3.59769153594971,0.234037145972252,8.35954,8.403848,11,2018,"(0.594591198576926,0.131134453140263)","1","11 _ 2018","1"
"70",0,4,10.2189781021898,71.5328467153285,63.2658081054688,18,0,209.192596435547,0.436275780200958,7.077008,8.380083,9,2018,"(0.0468521398309138,0.121135997661833)","1","9 _ 2018","1"
"71",3,3,17.2185430463576,100,113.234504699707,16.5,57.1428571428571,81.4701614379883,0.378124564886093,5.463445,10.413061,10,2018,"(-0.64226242327347,0.97645432384018)","1","10 _ 2018","1"
"72",1,3,23.4375,83.59375,79.8894653320312,17,100,110.440353393555,0.35473307967186,6.263087,10.184972,10,2018,"(-0.300754253174183,0.880492290950649)","1","10 _ 2018","1"
"73",0,10,17.5531914893617,82.4468085106383,4126.20849609375,16,100,231.897537231445,0.340757250785828,6.53455,9.600453,8,2018,"(-0.18481883159845,0.634572358369263)","1","8 _ 2018","1"
"74",0,13,12.2448979591837,92.5170068027211,2825.2734375,15,80,231.897537231445,0.213980302214622,6.5564,9.621986,8,2018,"(-0.17548721380365,0.643631762611511)","1","8 _ 2018","1"
"75",1,3,39.4230769230769,99.0384615384615,140.272613525391,22,0,245.257263183594,0.362978160381317,6.519565,9.660682,9,2018,"(-0.191218570392732,0.659912016480366)","1","9 _ 2018","1"
"76",0,6,15.1260504201681,84.8739495798319,97.8750152587891,18.5,0,0.131622865796089,0.126198709011078,5.052374,9.296277,11,2018,"(-0.81782111702753,0.506598859795434)","1","11 _ 2018","1"
"77",0,3,24.7191011235955,96.6292134831461,5451.3818359375,18,50,0.175497144460678,0.148013219237328,5.991771,9.086517,11,2018,"(-0.416626894529513,0.418348238244601)","1","11 _ 2018","1"
"78",3,13,3.87096774193548,75.483870967742,107.485984802246,13.5,66.6666666666667,259.911285400391,0.453804820775986,6.632927,9.429812,9,2018,"(-0.142804343552728,0.562779956042529)","1","9 _ 2018","1"
"80",1,4,10.4166666666667,78.4722222222222,940.850952148438,17,66.6666666666667,231.081481933594,0.435241311788559,7.198997,9.193378,8,2018,"(0.0989507541636301,0.463306999064316)","1","8 _ 2018","1"
"81",0,5,3.64963503649635,87.5912408759124,1540.77770996094,16,0,0,0.0752316117286682,8.887685,9.933706,11,2018,"(0.820149426505284,0.774779187048133)","1","11 _ 2018","1"
"82",0,3,21.259842519685,68.503937007874,1540.77770996094,21,0,0,0.196403667330742,8.92776,9.900532,11,2018,"(0.837264510401238,0.760822159400692)","1","11 _ 2018","1"
"83",0,6,2.94117647058824,89.7058823529412,1540.77795410156,14,0,0,0.0826279819011688,8.875891,9.949291,11,2018,"(0.815112488277738,0.781336137548084)","1","11 _ 2018","1"
"85",0,3,7.76699029126214,76.6990291262136,1540.77770996094,21.5,0,0,0.13234481215477,8.855647,9.935493,12,2018,"(0.806466755067764,0.77553101704771)","1","12 _ 2018","1"
"88",0,3,34.5454545454545,90.9090909090909,1540.77783203125,20,0,0,0.111030802130699,8.83933,9.864935,12,2018,"(0.799498150602879,0.745845722637986)","1","12 _ 2018","1"
"89",0,4,12.9032258064516,58.8709677419355,241.230194091797,19,75,49.0997123718262,0.155212059617043,9.140867,9.486995,10,2018,"(0.928277465705423,0.586838095307123)","1","10 _ 2018","1"
"90",0,8,1.88679245283019,50.314465408805,116.290672302246,14,50,125.480461120605,0.353375107049942,9.525587,8.867659,9,2018,"(1.09258227110659,0.326269889029439)","1","9 _ 2018","1"
"91",0,11,9.52380952380953,70.7482993197279,86.7608108520508,14.5,75,227.005554199219,0.30635678768158,13.254831,10.278143,9,2018,"(2.6852541096215,0.919691369233032)","1","9 _ 2018","1"
"92",0,5,26.3157894736842,70.5263157894737,297.736724853516,19.5,60,227.005554199219,0.316454440355301,13.264719,10.252632,9,2018,"(2.68947704036544,0.908958333352105)","1","9 _ 2018","1"
"93",0,2,11.7021276595745,37.2340425531915,97.5249786376953,19,100,142.635299682617,0.319300055503845,12.73432,10.15705,9,2018,"(2.46295618239088,0.868744894617018)","1","9 _ 2018","1"
"94",1,8,1.44927536231884,31.1594202898551,139.171295166016,15,0,0,0.187537923455238,11.824585,9.651779,12,2018,"(2.07442989797201,0.65616632958264)","1","12 _ 2018","1"
"95",0,1,18.1818181818182,90.9090909090909,110.815559387207,25,100,166.7939453125,0.330753415822983,12.44229,9.292566,8,2018,"(2.33823708195082,0.505037560898718)","1","8 _ 2018","1"
"96",0,8,27.9569892473118,78.494623655914,110.815567016602,23.5,100,166.7939453125,0.216191053390503,12.447658,9.273746,8,2018,"(2.3405296276864,0.497119575116935)","1","8 _ 2018","1"
"97",0,2,5.17241379310345,47.4137931034483,110.815559387207,16,100,83.5366439819336,0.259136885404587,12.23095,9.295915,9,2018,"(2.24797877052047,0.506446558474871)","1","9 _ 2018","1"
"98",1,4,11.6788321167883,78.1021897810219,1250.85876464844,15,100,97.3131713867188,0.216685235500336,12.474082,9.209997,9,2018,"(2.35181469261133,0.470298975988198)","1","9 _ 2018","1"
"99",0,4,9.01639344262295,36.0655737704918,110.815559387207,14,66.6666666666667,97.3131713867188,0.265296190977097,12.478365,9.297535,9,2018,"(2.35364386052964,0.507128127920486)","1","9 _ 2018","1"
"101",1,6,8.03571428571428,34.8214285714286,318.63916015625,16,78.9473684210526,10.5634660720825,0.326515793800354,9.934839,11.679127,10,2018,"(1.26736411301768,1.50911599157653)","1","10 _ 2018","1"
"102",0,5,9.1743119266055,7.3394495412844,223.439514160156,15,80,0,0.240215346217155,10.4369,11.523985,11,2018,"(1.48178248197306,1.44384435766807)","1","11 _ 2018","1"
"103",0,6,20.125786163522,57.2327044025157,320.037628173828,14,88.8888888888889,0,0.141674965620041,10.466166,11.301945,12,2018,"(1.49428129782582,1.35042727143072)","1","12 _ 2018","1"
"105",0,9,11.353711790393,74.235807860262,185.64453125,16,100,283.944152832031,0.139524847269058,9.83984,10.31103,8,2018,"(1.22679228881227,0.933527649700911)","1","8 _ 2018","1"
"106",0,3,30.7692307692308,85.4700854700855,79.6377182006836,15,66.6666666666667,0.131622865796089,0.206005901098251,10.336329,10.256081,11,2018,"(1.4388309884609,0.910409403116258)","1","11 _ 2018","1"
"107",1,3,5.06329113924051,29.746835443038,49.8663520812988,14,100,2.26683807373047,0.368572503328323,12.499019,13.104633,10,2018,"(2.36246469503462,2.10885755586163)","1","10 _ 2018","1"
"108",0,11,5.14285714285714,84.5714285714286,40.5639266967773,14,50,110.212211608887,0.209582209587097,13.122577,11.823061,9,2018,"(2.62877155676871,1.56967217465385)","1","9 _ 2018","1"
"109",0,11,3.72340425531915,50,6235.70947265625,13,100,236.023193359375,0.28052231669426,13.165804,11.821781,8,2018,"(2.64723278525456,1.56913365064743)","1","8 _ 2018","1"
"110",0,2,35.2941176470588,93.1372549019608,6235.70947265625,22,0,0,0.19481948018074,13.165624,11.820996,12,2018,"(2.64715591151529,1.56880338397163)","1","12 _ 2018","1"
"111",0,6,14.3617021276596,90.4255319148936,40.5639266967773,17,75,110.212211608887,0.27248603105545,13.146027,11.840712,9,2018,"(2.63878649669036,1.5770983365579)","1","9 _ 2018","1"
"112",0,6,7.27272727272727,53.9393939393939,40.5639266967773,16,100,102.665832519531,0.307475984096527,13.113692,11.889306,9,2018,"(2.62497698358305,1.59754289559509)","1","9 _ 2018","1"
"113",0,5,8.79120879120879,65.3846153846154,40.5639266967773,16,75,236.023193359375,0.142733842134476,13.12766,11.86896,9,2018,"(2.63094238575045,1.58898288822441)","1","9 _ 2018","1"
"114",0,10,13.8297872340426,77.1276595744681,4891.2734375,16,100,110.212211608887,0.335292875766754,13.196846,11.807397,9,2018,"(2.66049008866812,1.56308198712538)","1","9 _ 2018","1"
"115",0,8,35.4037267080745,60.8695652173913,40.5639305114746,18.5,100,110.212211608887,0.311959117650986,13.0642053469723,11.8478078613936,9,2018,"(2.60384240545955,1.5800837207037)","1","9 _ 2018","1"
"116",0,7,0,5.63380281690141,40.5639305114746,13,100,110.212211608887,0.243561893701553,13.1429302384865,11.8721272339901,9,2018,"(2.63746394315052,1.59031541286316)","1","9 _ 2018","1"
